09:17:38 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
09:17:59   loaded 20/72 episodes
09:18:10   loaded 40/72 episodes
09:18:18   loaded 60/72 episodes
09:18:26 25509 train rows, 2767 val rows, frames at 128 px
10:24:36 step   4675  loss 0.0516  l1 0.0367  kl 0.001  0.85s/step  eta 3.6h
10:24:44 step   4700  loss 0.0522  l1 0.0373  kl 0.001  0.85s/step  eta 3.6h
10:24:51 step   4725  loss 0.0495  l1 0.0358  kl 0.001  0.84s/step  eta 3.6h
10:24:59 step   4750  loss 0.0517  l1 0.0376  kl 0.001  0.84s/step  eta 3.6h
10:25:00   val l1 0.0354 (best 0.0303)  -> last.pt
10:25:07 step   4775  loss 0.0539  l1 0.0397  kl 0.001  0.84s/step  eta 3.5h
10:25:15 step   4800  loss 0.0536  l1 0.0402  kl 0.001  0.84s/step  eta 3.5h
10:25:22 step   4825  loss 0.0494  l1 0.0352  kl 0.001  0.83s/step  eta 3.5h
10:25:29 step   4850  loss 0.0485  l1 0.0334  kl 0.002  0.83s/step  eta 3.5h
10:25:37 step   4875  loss 0.0513  l1 0.0363  kl 0.002  0.83s/step  eta 3.5h
10:25:44 step   4900  loss 0.0492  l1 0.0364  kl 0.001  0.82s/step  eta 3.5h
10:25:51 step   4925  loss 0.0504  l1 0.0365  kl 0.001  0.82s/step  eta 3.4h
10:25:58 step   4950  loss 0.0502  l1 0.0367  kl 0.001  0.82s/step  eta 3.4h
10:26:05 step   4975  loss 0.0503  l1 0.0355  kl 0.001  0.82s/step  eta 3.4h
10:26:13 step   5000  loss 0.0487  l1 0.0349  kl 0.001  0.81s/step  eta 3.4h
10:26:14   val l1 0.0327 (best 0.0303)  -> last.pt
10:26:22 step   5025  loss 0.0472  l1 0.0356  kl 0.001  0.81s/step  eta 3.4h
10:26:29 step   5050  loss 0.0503  l1 0.0364  kl 0.001  0.81s/step  eta 3.4h
10:26:36 step   5075  loss 0.0477  l1 0.0325  kl 0.002  0.81s/step  eta 3.3h
10:26:43 step   5100  loss 0.0484  l1 0.0345  kl 0.001  0.80s/step  eta 3.3h
10:26:50 step   5125  loss 0.0451  l1 0.0329  kl 0.001  0.80s/step  eta 3.3h
10:26:57 step   5150  loss 0.0456  l1 0.0340  kl 0.001  0.80s/step  eta 3.3h
10:27:04 step   5175  loss 0.0451  l1 0.0329  kl 0.001  0.80s/step  eta 3.3h
10:27:10 step   5200  loss 0.0456  l1 0.0336  kl 0.001  0.79s/step  eta 3.3h
10:27:17 step   5225  loss 0.0467  l1 0.0335  kl 0.001  0.79s/step  eta 3.2h
10:27:24 step   5250  loss 0.0488  l1 0.0367  kl 0.001  0.79s/step  eta 3.2h
10:27:25   val l1 0.0322 (best 0.0303)  -> last.pt
10:27:32 step   5275  loss 0.0460  l1 0.0346  kl 0.001  0.79s/step  eta 3.2h
10:27:38 step   5300  loss 0.0438  l1 0.0328  kl 0.001  0.78s/step  eta 3.2h
10:27:45 step   5325  loss 0.0445  l1 0.0315  kl 0.001  0.78s/step  eta 3.2h
10:27:52 step   5350  loss 0.0427  l1 0.0305  kl 0.001  0.78s/step  eta 3.2h
10:27:58 step   5375  loss 0.0445  l1 0.0337  kl 0.001  0.78s/step  eta 3.2h
10:28:05 step   5400  loss 0.0438  l1 0.0336  kl 0.001  0.77s/step  eta 3.1h
10:28:12 step   5425  loss 0.0447  l1 0.0341  kl 0.001  0.77s/step  eta 3.1h
10:28:19 step   5450  loss 0.0441  l1 0.0322  kl 0.001  0.77s/step  eta 3.1h
10:28:25 step   5475  loss 0.0431  l1 0.0320  kl 0.001  0.77s/step  eta 3.1h
10:28:32 step   5500  loss 0.0433  l1 0.0334  kl 0.001  0.76s/step  eta 3.1h
