01:08:43 device mps; 72 train / 8 val episodes from out/demos/ball; task: 'put the red ball in the crate'
01:08:46   loaded 10/72 episodes
01:08:49   loaded 20/72 episodes
01:08:52   loaded 30/72 episodes
01:08:55   loaded 40/72 episodes
01:08:58   loaded 50/72 episodes
01:09:00   loaded 60/72 episodes
01:09:03   loaded 70/72 episodes
01:09:06 25509 train rows, 2767 val rows, frames at 128 px
01:19:24 step   2875  loss 0.0907  l1 0.0434  kl 0.005  0.21s/step  eta 1.0h
01:19:35 step   2900  loss 0.0898  l1 0.0413  kl 0.005  0.22s/step  eta 1.0h
01:19:46 step   2925  loss 0.0902  l1 0.0429  kl 0.005  0.22s/step  eta 1.0h
01:19:56 step   2950  loss 0.0865  l1 0.0407  kl 0.005  0.22s/step  eta 1.0h
01:20:07 step   2975  loss 0.0884  l1 0.0425  kl 0.005  0.22s/step  eta 1.1h
01:20:18 step   3000  loss 0.0863  l1 0.0457  kl 0.004  0.22s/step  eta 1.1h
01:20:21   val l1 0.0448 (best 0.0432)  -> last.pt
01:20:32 step   3025  loss 0.0905  l1 0.0500  kl 0.004  0.23s/step  eta 1.1h
01:21:03 step   3050  loss 0.0857  l1 0.0432  kl 0.004  0.24s/step  eta 1.1h
01:21:15 step   3075  loss 0.0860  l1 0.0435  kl 0.004  0.24s/step  eta 1.1h
01:21:27 step   3100  loss 0.0852  l1 0.0455  kl 0.004  0.24s/step  eta 1.1h
01:21:38 step   3125  loss 0.0826  l1 0.0414  kl 0.004  0.24s/step  eta 1.1h
01:22:10 step   3150  loss 0.0793  l1 0.0417  kl 0.004  0.25s/step  eta 1.2h
01:22:20 step   3175  loss 0.0815  l1 0.0426  kl 0.004  0.25s/step  eta 1.2h
01:22:30 step   3200  loss 0.0790  l1 0.0386  kl 0.004  0.25s/step  eta 1.2h
01:22:41 step   3225  loss 0.0794  l1 0.0405  kl 0.004  0.25s/step  eta 1.2h
01:22:51 step   3250  loss 0.0750  l1 0.0407  kl 0.003  0.25s/step  eta 1.2h
01:22:55   val l1 0.0381 (best 0.0381)  *  -> last.pt
01:23:37 step   3275  loss 0.0806  l1 0.0423  kl 0.004  0.27s/step  eta 1.2h
01:23:48 step   3300  loss 0.0769  l1 0.0419  kl 0.003  0.27s/step  eta 1.2h
01:24:01 step   3325  loss 0.0818  l1 0.0436  kl 0.004  0.27s/step  eta 1.2h
01:24:13 step   3350  loss 0.0755  l1 0.0395  kl 0.004  0.27s/step  eta 1.3h
01:38:38 step   3375  loss 0.0711  l1 0.0378  kl 0.003  0.53s/step  eta 2.4h
01:38:50 step   3400  loss 0.0725  l1 0.0388  kl 0.003  0.52s/step  eta 2.4h
01:39:00 step   3425  loss 0.0790  l1 0.0444  kl 0.003  0.52s/step  eta 2.4h
01:39:11 step   3450  loss 0.0731  l1 0.0405  kl 0.003  0.52s/step  eta 2.4h
01:39:20 step   3475  loss 0.0740  l1 0.0376  kl 0.004  0.52s/step  eta 2.4h
02:06:48 step   3500  loss 0.0708  l1 0.0379  kl 0.003  0.99s/step  eta 4.5h
02:24:35   val l1 0.0356 (best 0.0356)  *  -> last.pt
03:20:01 step   3525  loss 0.0687  l1 0.0379  kl 0.003  2.23s/step  eta 10.2h
03:20:15 step   3550  loss 0.0691  l1 0.0385  kl 0.003  2.22s/step  eta 10.1h
03:20:26 step   3575  loss 0.0742  l1 0.0427  kl 0.003  2.20s/step  eta 10.1h
03:35:55 step   3600  loss 0.0697  l1 0.0404  kl 0.003  2.45s/step  eta 11.1h
03:41:49 step   3625  loss 0.0686  l1 0.0400  kl 0.003  2.53s/step  eta 11.5h
